datetime,profit
1980-12-31,14582958.916666666
1981-12-31,10374651.926605504
1982-12-31,13721416.469026549
1983-12-31,8995818.620155038
1984-12-31,7342481.584905661
1985-12-31,5071411.553763441
1986-12-31,4073910.052631579
1987-12-31,6828374.071823205
1988-12-31,10477922.62631579
1989-12-31,15761467.343915343
1990-12-31,17616485.580645163
1991-12-31,14386562.11299435
1992-12-31,19480268.364130434
1993-12-31,23554357.090425532
1994-12-31,23316987.465968587
1995-12-31,23905466.262626264
1996-12-31,23397167.770408165
1997-12-31,37272088.13586956
1998-12-31,29584751.91860465
1999-12-31,38436982.17058823
2000-12-31,41942462.80487805
2001-12-31,52460551.9702381
2002-12-31,60900040.72093023
2003-12-31,63877678.13939394
2004-12-31,65549628.09467456
2005-12-31,59007263.91477273
2006-12-31,62021709.14689265
2007-12-31,73443732.70520231
2008-12-31,81629493.81764705
2009-12-31,93101098.70481928
2010-12-31,102133348.80405405
2011-12-31,114418837.35460994
2012-12-31,118245924.76190476
2013-12-31,112642954.47096774
2014-12-31,105941759.04624277
2015-12-31,107487624.12643678
2016-12-31,108540745.81564246
2017-12-31,113283026.2159091
2018-12-31,116553870.98255815
2019-12-31,119454601.08187135
2020-12-31,86206084.52173913
